price,msrp,cpu,cpuNum,ram,storage,gpu,screnSize,Resolution,os,brand,name,weight,rating,ratingLen
566,899.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,128 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVFH2LL/A,2.75 pounds,,
598,949.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVFJ2LL/A,2.75 pounds,,
566,899.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,128 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVFK2LL/A,2.75 pounds,,
598,949.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVFL2LL/A,2.75 pounds,,
566,899.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,128 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVFM2LL/A,2.75 pounds,,
499,499.99,Intel Core m3,Dual-Core 1.1 GHz (w/ Turbo Boost up to 2.2 GHz),8 gigabytes,256 gigabytes,Intel HD Graphics 515,12 inches,2304 x 1440,Mac OS,Apple,A1534,2.03 pounds,5,1
1499,1499,Apple M1,Apple M1,16 gigabytes,1024 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600,Mac OS,Apple,Z124000FM,2.8 pounds,,
1649,1649,Apple M1,Apple M1,16 gigabytes,1024 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600,Mac OS,Apple,Z125000DM,2.8 pounds,,
1699,1699,Apple M1,Apple M1,16 gigabytes,512 gigabytes,Apple M1,13.3 inches,2560 x 1600,Mac OS,Apple,Z11B000EM,3 pounds,,
1449,1449,Apple M1,Apple M1,16 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600,Mac OS,Apple,Z125000DL,2.8 pounds,,
1899,1899,Apple M1,Apple M1,16 gigabytes,1000 gigabytes,Apple M1,13.3 inches,2560 x 1600,Mac OS,Apple,Z11B000EN,3 pounds,,
1199,1199,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600,Mac OS,Apple,Z124000F2,2.8 pounds,,
1399,1399,Apple M1,Apple M1,16 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600,Mac OS,Apple,Z124000FL,2.8 pounds,,
1699,1699,Apple M1,Apple M1,16 gigabytes,512 gigabytes,Apple M1,13.3 inches,2560 x 1600,Mac OS,Apple,Z11D000GJ,3 pounds,,
2299,2299,Apple M1,Apple M1,16 gigabytes,2048 gigabytes,Apple M1,13.3 inches,2560 x 1600,Mac OS,Apple,Z11B000EP,3 pounds,,
199,249.99,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel HD Graphics 500,11.6 inches,1366 x 768 (HD),Chrome OS,ASUS,C223NADH02RD,2.2 pounds,4.2,64
239,269.99,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel HD Graphics 500,15.6 inches,1366 x 768 (HD),Chrome OS,ASUS,C523NADH02,3.11 pounds,3.8,30
199,249.99,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel HD Graphics 500,11.6 inches,1366 x 768 (HD),Chrome OS,ASUS,C223NA-DH02,2.2 pounds,4.2,64
469,569.99,Intel Core m3,8100Y,4 gigabytes,64 gigabytes,Intel UHD Graphics 615,14 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,C434TA-DSM4T,3.2 pounds,4.4,23
524,699.99,AMD Ryzen 5 3000 Series,3500U,8 gigabytes,256 gigabytes,AMD Radeon Vega 8,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,Q406DA-BR5T6,3.53 pounds,4.4,660
934,1099.99,AMD Ryzen 7 4000 Series,4800HS,8 gigabytes,512 gigabytes,NVIDIA GeForce GTX 1650,14 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,GA401IH-BR7N2BL,3.64 pounds,4.5,357
594,699.99,AMD Ryzen 5 4000 Series,4500U,8 gigabytes,256 gigabytes,NVIDIA GeForce MX350,14 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,Q407IQ-BR5N4,,4.3,1048
1749,1749.99,Intel 8th Generation Core i7,i7-8750H,16 gigabytes,512 gigabytes,NVIDIA GeForce GTX 1050,15.6 inches,3840 x 2160 (4K),Windows 10 Home,ASUS,GSRF UX580GD-BI7T5,4.14 pounds,5,1
799,799.99,Intel 10th Generation Core i3,10110U,8 gigabytes,128 gigabytes,Intel UHD Graphics,14 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,C436FADS388T,2.6 pounds,1,1
971,1199.99,AMD 2nd Generation Ryzen 7,3750H,16 gigabytes,512 gigabytes,,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,GSRF GA502DU-BR7N6,,4.6,5
940,1099.99,Intel 8th Generation Core i7,i7-8565U,16 gigabytes,256 gigabytes,,13.3 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,GSRF Q326FA-BI7T13,,,
129,269,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Other,14 inches,1366 x 768 (HD),Chrome OS,ASUS,C423NA-BCLN5,2.6 pounds,4.4,946
239,299.99,Intel Celeron,N4020,4 gigabytes,128 gigabytes,Intel UHD Graphics 600,14 inches,1366 x 768 (HD),Windows 11 Home,ASUS,E410MA-202.BLUE,2.87 pounds,4.3,601
849,849.99,AMD Ryzen 7 4000 Series,4700U,8 gigabytes,256 gigabytes,NVIDIA GeForce MX350,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,Q507IQ-202.BL,4.19 pounds,4.5,300
1499,1499.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,1000 gigabytes,NVIDIA GeForce GTX 1650 Ti,15.6 inches,3840 x 2160 (4K),Windows 11 Home,ASUS,Q538EI-202.BL/Q538EI-202.BL-11,4.19 pounds,4.5,395
1199,1199.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512 gigabytes,NVIDIA GeForce GTX 1650,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,Q528EH-202.BL -11,4.19 pounds,4.6,497
1599,1699.99,Intel 11th Generation Core i7 Evo Platform,1165G7,16 gigabytes,1000 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B9450CEAXH75,2.2 pounds,4.8,6
1899,1999.99,Intel 11th Generation Core i7 Evo Platform,1165G7,32 gigabytes,2000 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B9450CEAXH77,2.2 pounds,4,5
1699,1699.99,Intel 11th Generation Core i7 Evo Platform,1165G7,16 gigabytes,1000 gigabytes,Intel Iris Plus Graphics,13.9 inches,3300 x 2200,Windows 10 Pro,ASUS,UX393EAXB77T,2.98 pounds,4.2,5
949,949.99,Intel 11th Generation Core i5 Evo Platform,1135G7,8 gigabytes,512.0 gigabytes,Intel Iris Xe Graphics,13.3 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,UX363EADH51T,2.87 pounds,4.8,5
684,729.99,Intel 11th Generation Core i5,i5-1135G7,8 gigabytes,512.0 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S533EADH51RD,,4.5,27
729,729.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512.0 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S433EADH51WH,3.1 pounds,4.3,7
729,729.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S533EADH51,3.97 pounds,4.5,27
909,909.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512.0 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S533EADH74WH,3.97 pounds,4.5,20
684,729.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512.0 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S433EADH51,3.1 pounds,4.3,7
705,729.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S533EADH51WH,3.97 pounds,4.5,27
684,729.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S533EADH51GN,3.97 pounds,4.5,27
399,429.99,AMD Ryzen 3 3000 Series,AMD Ryzen 3 3250U,8 gigabytes,256 gigabytes,AMD Radeon Vega 3,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,F512DARH36,3.7 pounds,4.5,39
899,899.99,Intel 10th Generation Core i5,1035G1,8 gigabytes,512 gigabytes,Intel UHD Graphics,13.3 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,UX363JADB51T,2.87 pounds,1,1
333,349.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,14 inches,1366 x 768 (HD),Windows 10 Home in S mode,ASUS,J401MADB02,3.3 pounds,4,25
899,969.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,UX425EAEH71,2.58 pounds,4.3,12
99,219,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel UHD Graphics,11.6 inches,1366 x 768 (HD),Chrome OS,ASUS,CX22NA-211.BB01,2.2 pounds,4.3,778
569,569,Intel 11th Generation Core i3,1115G4,8 gigabytes,128 gigabytes,Intel UHD Graphics,15.6 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,C536EA-BI3T3,4.17 pounds,4.4,453
699,699.99,Intel 10th Generation Core i7,I7-1065G7,8 gigabytes,1256 gigabytes,Intel HD Graphics 6000,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,X512JA-211.VBGB,3.75 pounds,4.4,188
399,649.99,Intel 10th Generation Core i3,i3-10110U,8 gigabytes,128 gigabytes,Intel UHD Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,P2451FA-XH33,3.35 pounds,,
949,949.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S435EABH71GR,2.87 pounds,5,5
718,718.99,AMD Ryzen 7 5000 Series,5700U,8 gigabytes,1000 gigabytes,AMD Radeon,16 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S513UADS74,3.97 pounds,4.5,2
609,609.99,AMD Ryzen 5 5000 Series,AMD Ryzen 5 5500U,8 gigabytes,512 gigabytes,AMD Radeon,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,S513UADS51,,4.3,4
519,719.99,AMD Ryzen 5 5000 Series,5500U,8 gigabytes,256 gigabytes,NVIDIA GeForce MX450,14 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,Q408UG-211.BL,2.91 pounds,4.4,380
1649,1649.99,AMD Ryzen 9 5000 Series,5900HX,16 gigabytes,512 gigabytes,AMD Radeon RX 6800M,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,G513QY-212.SG15,5.29 pounds,4,601
749,799.99,AMD Ryzen 7 5000 Series,5700U,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,TM420UADS71T,3.31 pounds,4.3,6
249,299.99,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel HD Graphics 500,14 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,C423NADB42F,2.95 pounds,,
699,729.99,AMD Ryzen 5 5000 Series,5500U,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,TM420UADS52T,3.31 pounds,2.3,3
279,329.99,ARM,Cortex A73,4 gigabytes,32 gigabytes,Other,12 inches,1366 x 768 (HD),Chrome OS,ASUS,CM3200FVADS42T,2.51 pounds,4.2,5
1999,1999.99,AMD Ryzen 9 5000 Series,5900HS,32 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3060,14 inches,2560 x 1440 (QHD),Windows 10,ASUS,GA401QMXS98QWH,8 pounds,4.5,8
229,229.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel HD Graphics 5500,14 inches,1600 x 768 (HD),Windows 11 Home,ASUS,E410MA-211.NCR-BLUE-11,,3.8,32
399,449.99,Intel 10th Generation Core i3,1005G1,8 gigabytes,256 gigabytes,Intel HD Graphics 5000,15.6 inches,1600 x 768 (HD),Windows 11 Home in S Mode,ASUS,X515JA-212.V15BB-11,3.97 pounds,4.5,551
229,229.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel HD Graphics 5000,14 inches,1600 x 768 (HD),Windows 11 Home,ASUS,E410MA-211.NCR-PINK-11,,3.8,32
499,699.99,Intel 10th Generation Core i5,I5-1035G1,12 gigabytes,1012 gigabytes,Intel HD Graphics 5000,17.3 inches,1600 x 900 (HD+),Windows 11 Home in S Mode,ASUS,X712JA-212.V17WN-11,,3.9,353
259,259.99,Intel Celeron,N4020,4 gigabytes,128 gigabytes,Intel HD Graphics 5000,14 inches,1600 x 768 (HD),Windows 11 Home,ASUS,R410MA-212.BK128-11,,4.3,217
229,229.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel HD Graphics 5000,14 inches,1600 x 768 (HD),Windows 11 Home,ASUS,E410MA-212.BNCR-11,,4.4,125
399,549.99,Intel 11th Generation Core i3,1115G4,8 gigabytes,256 gigabytes,Intel HD Graphics 5000,15.6 inches,1920 x 1080 (Full HD),Windows 10,ASUS,X515EA-212.V15TB,3.97 pounds,4.4,34
149,299,Intel Celeron,N3350,4 gigabytes,32 gigabytes,Intel HD Graphics 5000,14 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,C423NA-BCLN6,2.95 pounds,4.4,946
199,369,Intel Celeron,N4500,4 gigabytes,32 gigabytes,Intel HD Graphics 5000,17.3 inches,1920 x 1080 (Full HD),Chrome OS,ASUS,CXB170CKA-212.BCLN6,5.34 pounds,4.6,326
829,829.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,UX425EAEH51,,4.3,4
129,239.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 630,11.6 inches,1600 x 768 (HD),Windows 10 Home in S mode,ASUS,E210MA-212.HCW11,2.31 pounds,4.3,72
1574,1699.99,Intel 11th Generation Core i7,i7-1165G7,16 gigabytes,1000 gigabytes,Other,13.3 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B5302FEA-XH75T,2.6 pounds,,
1049,1299.99,Intel 11th Generation Core i7,i7-1165G7,16 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B1400CEA-XH74,3.2 pounds,4,1
849,1049.99,Intel 11th Generation Core i5,i5-1135G7,8 gigabytes,256 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B1400CEA-XH51,3.2 pounds,4,1
299,369.99,Non-AMD/Intel processor,8183,4 gigabytes,64 gigabytes,Other,10.5 inches,1920 x 1200 (WUXGA),Chrome OS,ASUS,CM3000DVA-DS44T-S,1.12 pounds,3.5,2
899,999.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512 gigabytes,NVIDIA GeForce MX350,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,K513EQ-PB79,3.97 pounds,5,3
769,769.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,512 gigabytes,Other,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,F515EA-DB75,3.97 pounds,3.8,4
1549,1549.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,1000 gigabytes,Other,13.3 inches,3840 x 2160 (4K),Windows 10 Pro,ASUS,UX371EA-XB76T,2.65 pounds,,
1199,1199.99,Intel 11th Generation Core i7 Evo Platform,1165G7,16 gigabytes,512 gigabytes,Intel Iris Xe Graphics,13.3 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,90NB0RZ1-M001C0,1.3 pounds,,
898,949.99,Intel 11th Generation Core i5 Evo Platform,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,13.3 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,90NB0RZ1-M001B0,1.3 pounds,,
3099,3099.99,Intel 11th Generation Core i9,Intel Core i9-11900H,32 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3080,15.6 inches,3840 x 2160 (4K),Windows 10 Pro,ASUS,UX582HS-XH99T,1.3 pounds,,
621,659.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,F515EA-DH55,3.97 pounds,,
1999,1999.99,AMD Ryzen 9 5000 Series,5900HX,32 gigabytes,1000 gigabytes,Other,16 inches,3840 x 2400,Windows 10 Pro,ASUS,H5600QM-XB96,5.29 pounds,,
1999,1999.99,Intel 11th Generation Core i7,11800H,32 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3060,16 inches,3840 x 2400,Windows 10 Pro,ASUS,H7600HM-XB76,5.29 pounds,3.7,3
849,919.99,Intel 11th Generation Core i5,11300H,8 gigabytes,512 gigabytes,NVIDIA GeForce GTX 1650 Max-Q,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,K3500PH-DB51,3.64 pounds,,
1449,1449.99,AMD Ryzen 7 5000 Series,Ryzen 7 5800H,16 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3050 Ti,16 inches,3840 x 2400,Windows 10 Home,ASUS,M7600QE-DB74,4.3 pounds,5,1
1649,1649.99,AMD Ryzen 9 5000 Series,5900HX,32 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3050 Ti,16 inches,3840 x 2400,Windows 10 Pro,ASUS,M7600QE-XB99,4.3 pounds,,
1399,1399.99,AMD Ryzen 7 5000 Series,5800H,16 gigabytes,512 gigabytes,NVIDIA GeForce RTX 3050 Ti,15.6 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,UM535QE-XH71T,4.41 pounds,,
1299,1299.99,Intel 11th Generation Core i7,i7-1195G7,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,UX482EAR-DB71T,3.46 pounds,4.5,4
1299,1299.99,Intel 11th Generation Core i7,1195G7,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,UX482EAR-DH71T,3.46 pounds,4.5,2
1499,1499.99,Intel 11th Generation Core i7,1195G7,16 gigabytes,1000 gigabytes,NVIDIA GeForce MX450,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,UX482EGR-XB74T,3.57 pounds,4.3,3
1699,1699.99,Intel 11th Generation Core i7,1195G7,32 gigabytes,1000 gigabytes,NVIDIA GeForce MX450,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,UX482EGR-XB77T,3.57 pounds,5,4
2499,2799.99,Intel 11th Generation Core i9,i9-11900H,32 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3060,15.6 inches,3840 x 2160 (4K),Windows 11 Pro,ASUS,UX582HM-XH96T,5.16 pounds,5,1
899,899.99,AMD Ryzen 7 5000 Series,7 5400U,8 gigabytes,512 gigabytes,AMD Radeon,13.3 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,UM325UA-DH71,1.14 pounds,,
1739,1899.99,Intel 11th Generation Core i7,i7-1165G7,32 gigabytes,1000 gigabytes,Other,13.3 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B5302FEA-XH77T,2.87 pounds,,
719,869.99,AMD Ryzen 7 5000 Series,R7-5700U,8 gigabytes,256 gigabytes,NVIDIA GeForce MX450,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,Q508UG-212.R7TBL,4.19 pounds,4.7,12
749,749.99,Intel 12th Generation Core i5 Evo Platform,Intel® Core™ i5-1240P Processor,8 gigabytes,256 gigabytes,Other,14 inches,2880 x 1800,Windows 11 Home,ASUS,Q409ZA-EVO.I5256BL,3.06 pounds,4.7,17
749,749.99,AMD Ryzen 5 5000 Series,5600H,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,UM425QA-EH51,2.87 pounds,,
999,999.99,AMD Ryzen 7 5000 Series,5800H,16 gigabytes,1000 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 11 Pro,ASUS,UM425QA-EH74,2.87 pounds,,
1373,1499.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512 gigabytes,Other,13.3 inches,1920 x 1080 (Full HD),Windows 10,ASUS,B5302CEA-XH74,2.64 pounds,,
919,919.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,512 gigabytes,Other,13.3 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,UX325EA-EH71,2.51 pounds,5,1
1012,1099.99,Intel 11th Generation Core i5,1135G7,16 gigabytes,256 gigabytes,Other,15.6 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B1500CEA-XH53,3.81 pounds,,
249,249.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Windows 11 Home,ASUS,L210MA-DS02,2.31 pounds,,
1499,1499.99,Intel 11th Generation Core i7,i7-11700B,16 gigabytes,1000 gigabytes,Other,23.8 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,E5402WHA-XH706T,15.65 pounds,,
1499,1499.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,1000 gigabytes,Other,13.3 inches,1920 x 1080 (Full HD),Windows 11 Pro,ASUS,UX371EA-XH76T,2.65 pounds,,
349,349.99,Intel Pentium,Intel Celeron N4500,4 gigabytes,128 gigabytes,Other,14 inches,1360 x 768 (HD),Windows 11 Home in S Mode,ASUS,E410KA-TB.CL4128BK,2.87 pounds,4,1
229,229.99,Intel Pentium,Intel Celeron N4020,4 gigabytes,64 gigabytes,Other,11.6 inches,1360 x 768 (HD),Windows 11 Home in S Mode,ASUS,E210MA-TB.CL464BK,2.31 pounds,2,1
249,249.99,Intel Pentium,Intel Celeron N4020,4 gigabytes,64 gigabytes,Other,14 inches,1360 x 768 (HD),Windows 11 Home in S Mode,ASUS,E410MA-TB.CL464BK,2.87 pounds,,
879,1099.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,ASUS,B1400CEA-XH54,3.2 pounds,,
1199,1199.99,Intel 12th Generation Core i7 Evo Platform,Intel® Core™ i7-12700H,16 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,2880 x 1620 (HD),Windows 11 Home,ASUS,Q529ZA-EVO.I7512BL,3.97 pounds,,
1399,1399.99,Intel 12th Generation Core i7 Evo Platform,Intel® Core™ i7-12700H,16 gigabytes,1000 gigabytes,Intel Arc A370M,15.6 inches,2880 x 1620 (HD),Windows 11 Home,ASUS,Q539ZD-EVO.I71TBL,3.97 pounds,,
419,419.99,Intel Celeron,N4500,4 gigabytes,64 gigabytes,Intel UHD Graphics,11.6 inches,1366 x 768 (HD),Windows 10 Pro,ASUS,BR1100FKA-502YT,3.09 pounds,,
1099,1099.99,AMD Ryzen 7 5000 Series,5800H,16 gigabytes,512 gigabytes,Other,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,ASUS,M3500QC-DS71,3.64 pounds,,
749,749.99,Intel 11th Generation Core i5,Intel Core i5-11300H CPU,8 gigabytes,256 gigabytes,Intel Iris Xe Graphics,14 inches,2880 x 1800,Windows 11 Home,ASUS,K3400PA-WH55,3.09 pounds,,
275,289.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,15.6 inches,1920 x 1080 (Full HD),Windows 11 Home,ASUS,L510MA-DS02,3.59 pounds,,
378,399.99,Intel Pentium,N5030,4 gigabytes,128 gigabytes,Intel UHD Graphics 605,14 inches,1366 x 768 (HD),Windows 10 Home in S mode,ASUS,J401MA-ES21T,3.31 pounds,,
299,299.99,Intel Atom,Z8350,4 gigabytes,64 gigabytes,Other,11.6 inches,1366 x 768 (HD),Windows 10 Home in S mode,Core Innovations,CLT1164BL,2.3 pounds,,
349,349.99,Intel Celeron,N3350,3 gigabytes,64 gigabytes,Intel HD Graphics 500,15.6 inches,1366 x 768 (HD),Windows 10 Home in S mode,Core Innovations,CLT1564BL,4.2 pounds,,
244,244.99,Intel 3rd Generation Core i5,i5-3320M,8 gigabytes,128 gigabytes,,14 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E5430.8.128.PRO,,2.8,5
539,539.99,Intel 6th Generation Core i7,i7-6600U,8 gigabytes,256 gigabytes,Intel HD Graphics 520,14 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E7470-31412,3.31 pounds,5,1
419,419.99,Intel 5th Generation Core i5,i5-5200U,8 gigabytes,256 gigabytes,,15.6 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E5550-31435,,4.5,2
499,499.99,Intel 6th Generation Core i5,i5-6300U,8 gigabytes,256 gigabytes,,15.6 inches,1920 x 1080 (Full HD),Windows 10 Pro,Dell,E5570-31083,,3.3,4
569,569.99,Intel 6th Generation Core i7,6600U,8 gigabytes,512 gigabytes,,14 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E7470-31413,,4,1
409,409.99,Intel 6th Generation Core i5,i5-6300U,8 gigabytes,256 gigabytes,,14 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E7470-31027,,2,1
379,379.99,Intel 7th Generation Core i3,i3-7130U,8 gigabytes,1000 gigabytes,,15.6 inches,1366 x 768 (HD),Windows 10 Home,Dell,GSRF I3567-3276BLK-PUS,,,
659,659.99,Intel 10th Generation Core i7,1065G7,8 gigabytes,1000 gigabytes,Intel Iris Plus Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Dell,I3593-7305BLK-PUS,4.41 pounds,4.2,36
597,829.99,Intel 8th Generation Core i5,i5-8265U,8 gigabytes,256 gigabytes,,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Dell,GSRF-I7586-5045SLV-PUS,,1,1
881,1399.99,Intel 8th Generation Core i7,i7-8565U,16 gigabytes,512 gigabytes,Intel UHD Graphics 620,13.3 inches,3840 x 2160 (4K),Windows 10 Home,Dell,GSRF-I7390-7100BLK-PUS,3.2 pounds,4.7,3
679,679.99,Intel 10th Generation Core i7,1065G7,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Dell,I3593-7872BLK-PUS,4.41 pounds,3.9,13
469,469.99,Intel 6th Generation Core i5,i5-6300U,16 gigabytes,512 gigabytes,,12.5 inches,1366 x 768 (HD),Windows 10 Pro,Dell,E7270-32213,,1.7,3
