gpu,FireStrike,TimeSpy
AMD FirePro W5130M,2110,
Intel UHD Graphics Xe G4 48EUs,2250,723
Intel UHD Graphics Xe 32EUs (Tiger Lake-H),2576.5,695
Intel UHD Graphics Xe 750 32EUs (Rocket Lake),2188,638
AMD Radeon RX Vega 8 (Ryzen 5000),3797.5,1184
NVIDIA GeForce MX230,2467.5,748
AMD Radeon RX Vega 8 (Ryzen 4000),3577,1136
AMD Radeon R7 M465,1740,
Intel Iris Pro Graphics 6200,1736.5,
NVIDIA GeForce MX130,2345,644.5
NVIDIA GeForce 940MX,1996,626
NVIDIA Quadro M520,2342,614
AMD Radeon RX Vega 8 (Ryzen 2000/3000),2362.5,697.5
AMD Radeon RX Vega 7,3343,1009
NVIDIA GeForce 940M,1622,
Intel Iris Plus Graphics G4 (Ice Lake 48 EU),2124,646
NVIDIA GeForce 930MX,1597,493
NVIDIA Quadro M600M,2430,631
AMD FirePro W4190M,1745,
AMD Radeon R9 M375,1667,
Intel Iris Plus Graphics 655,1948.5,601
AMD Radeon R7 M445,1579,471
NVIDIA Quadro M500M,1594.5,
Intel Iris Plus Graphics 650,1698,555
NVIDIA GeForce 930M,1460.5,
Intel Iris Graphics 550,1638,554
AMD Radeon 530,1542,443
AMD Radeon RX Vega 6 (Ryzen 4000/5000),2802,845.5
Intel Iris Plus Graphics 645,1893,550
NVIDIA GeForce MX110,1714,450.5
Intel Iris Plus Graphics 640,1393.5,437
NVIDIA GeForce 920MX,1448,417
Intel Iris Graphics 540,1448,
AMD Radeon R7 (Bristol Ridge),1013,347
AMD Radeon R7 M460,1177,
AMD Radeon R7 M360,1146,410
NVIDIA GeForce 920M,1161.5,329
AMD Radeon 620,1730,
AMD Radeon R7 M440,1197.5,381
AMD Radeon R7 M340,1208.5,
AMD Radeon 520,1319,397
AMD Radeon RX Vega 6 (Ryzen 2000/3000),2245,551.5
AMD Radeon RX Vega 5,2438,733
Intel UHD Graphics G1 (Ice Lake 32 EU),1521,424.5
Intel UHD Graphics 630,1211,414.5
Intel UHD Graphics Xe 16EUs (Tiger Lake-H),1368,373
Intel HD Graphics 630,1067,368
Intel UHD Graphics G7 (Lakefield GT2 64 EU),1295.5,349
Intel HD Graphics 530,935,235
AMD Radeon R5 (Bristol Ridge),1283.5,
Intel UHD Graphics 620,1166,380
Intel HD Graphics 620,934,321
AMD Radeon R5 M330,922,
AMD Radeon R5 M430,1004,
AMD Radeon RX Vega 3,1162,389
NVIDIA GeForce 910M,1022,
Intel HD Graphics 520,803.5,263
Intel Iris Graphics 6100,874,377
AMD Radeon R5 M315,920,
AMD Radeon R5 (Stoney Ridge),772,254.5
Intel HD Graphics 6000,951,334
Qualcomm Adreno 630,821,
Intel UHD Graphics (Jasper Lake 32 EU),1016,330
Intel UHD Graphics 617,997,300
Intel UHD Graphics 615,842.5,242.5
Intel HD Graphics 615,853,261
Intel HD Graphics 515,691.5,
Intel UHD Graphics 610,634,194
Intel HD Graphics 610,607.5,194.5
Intel HD Graphics 510,621,
Intel UHD Graphics (Jasper Lake 16 EU),653,155.5
Intel UHD Graphics 605,454,113
Intel HD Graphics 505,408,94
Intel HD Graphics 5300,439,
AMD Radeon R4 (Stoney Ridge),583,205
AMD Radeon R5 (Beema/Carrizo-L),539,
AMD Radeon R4 (Beema),497,
AMD Radeon R3 (Mullins/Beema),419.5,
AMD Radeon R2 (Stoney Ridge),511.5,
Intel HD Graphics (Broadwell),463,
Intel UHD Graphics 600,434.5,116
Intel HD Graphics 500,362.5,
Intel HD Graphics 405 (Braswell),254.5,
Intel HD Graphics (Braswell),261,
Intel HD Graphics 400 (Braswell),218,
AMD Radeon R2 (Mullins/Beema/Carrizo-L),373,
Intel HD Graphics (Cherry Trail),225,
Intel HD Graphics (Bay Trail),149,
