cpu,r20Single,r20Multi,r23Single,r23Multi
Intel Core i5-6287U,355,849,,
Intel Core i7-5557U,326,780,,
Intel Core i5-4258U,246,601,619,1496
Intel Core i7-10510Y,250,845,,
Intel Core i5-L16G7,282.5,647.5,710,1810
Intel Core i7-8500Y,312,587.5,,
Intel Core i7-7Y75,234.5,493.5,721,1390
Intel Core i5-8210Y,312,601,,
Intel Core i3-10100Y,303,536,788,1375
AMD Ryzen 3 3250U,234,415,810,1876
AMD Ryzen Embedded R1606G,350,710,888,1842
AMD Ryzen 3 3200U,301,690,765,1786
AMD Athlon Gold 3150U,303,795,,
AMD Ryzen Embedded R1505G,243,596,,
Intel Core i5-5250U,251,585,660,1529
AMD Athlon 300U,308,637,,
Qualcomm Snapdragon 7c Gen 2,116.8,347,307,992
Qualcomm Snapdragon 7c,114,323,321,830
Intel Core m3-7Y32,,,637,1293
Intel Core m3-8100Y,243,413,,
Intel Pentium Gold 5405U,204,513,,
Intel Pentium Gold 4417U,203,472,,
AMD FX-7600P,177,439,481,949
Intel Core i3-5010U,200,491,411,834
Intel Core i3-5005U,191,486,499,1225
Intel Pentium Silver N6000,263,666,679,1727
Intel Pentium Silver N5030,182.5,425.5,430,911
Intel Celeron J4125,170.5,493,442,1374.5
Intel Pentium Silver N5000,170,484,438,1232
AMD A10-5750M,162.5,434.5,,
AMD A10-4600M,62.6,148,,
Intel Core m3-6Y30,214,370,,
AMD Athlon Silver 3050e,224.5,419.5,576,1174.5
AMD 3020e,236,369,603,943
Intel Celeron 3867U,,159,,
Intel Celeron N4120,165,490,416.5,1230
AMD A9-9425,195,284,,
Intel Celeron J4115,156.5,546.5,,
Intel Celeron N4100,152,391,386.5,960.5
AMD A6-9225,182,273,,
Intel Celeron N4500,188,332,452,709
Intel Celeron N4020,175,316,,
Intel Celeron N4000,160,273,,
AMD A6-5200,91.8,337,239,843
Intel Atom x7-Z8750,78,220,208,612
AMD A4-5150M,144,186,,
Intel Atom x7-E3950,93,272,,
Intel Celeron J3355,106,200,,
Intel Celeron N3350,103.5,170.5,252,328
AMD A4-5000,68.5,237.5,180,651
AMD A6-9220e,73,110,,
Intel Celeron N2820,79,143,173,347
Intel Core 2 Duo SU7300,84,154.5,208,392
AMD E1-2100,42.25,72.2,114,202
